sample_rank,brand,handle,category_guess,form,images_inspected,printed_size_visible,printed_text_as_seen,primary_tokens,amended_tokens,classification,note
1,ColourPop,pallet-town-shadow-palette,eyeshadow_palette,palette,0,yes,TOTAL NET WT. 26.5g (0.95oz),,0.95 oz|26.5 g,present_read_rejected_by_rule,"Box front, small print. OCR read TOTALNETWT.26.5g (O.95oz); the strict rule rejects the glued label and the O standing for zero; the post-hoc amended rule recovers both values."
2,Essence,jelly-grip-undereye-primer-stick,primer,stick,0,no,,,,not_on_photographed_item,"Bare stick, front face only."
3,Milani,supercharged-highlighter-multistick,highlighter,stick,0|4,no,,,,not_on_photographed_item,"Bare stick; image 4 is an ingredients panel with no net-contents line."
4,Physicians Formula,mineral-wear-diamond-perfector-color-correcting-primer,primer,bottle,0,no,,,,not_on_photographed_item,"Bottle front at 600 px; no size on the face shown."
5,Wet n Wild,ultimate-brow-brow-pen-medium-brown,brow,pen,0|5,no,,,,not_on_photographed_item,"Pen barrel carries the SKU 11340616 and the shade name; no size."
6,ColourPop,dinner-date-so-juicy-plumping-gloss-balm,lip_gloss,tube,0,no,,,,not_on_photographed_item,"Bare bullet with no text; the other images are shade charts and claims."
7,Essence,fix-last-keep-it-perfect-make-up-fixing-spray,setting_spray,bottle,0,no,,,,not_on_photographed_item,"Bottle front read in full; no size on the front face."
8,Milani,gilded-eyeshadow-sticks,eyeshadow_single,stick,0|4,unconfirmed,,,,present_unreadable_microprint,"Group shot shows a second line of micro-print under GILDED EYESHADOW STICK 02 ROSE on each barrel; too small to resolve at the 2000 px original; whether it is the net weight cannot be confirmed."
9,Physicians Formula,powder-paletter-multi-colored-face-powder-buff,pressed_powder,compact,0,no,,,,not_on_photographed_item,"Compact lid at 600 px; OCR read nothing on any of the 3 images."
10,Wet n Wild,chameleon-chrome-all-over-glitter-mist-milkier-way,setting_spray,bottle,0,yes,65 mL / 2.2 FL. OZ.,65 mL,65 mL,hit_verified,"65 mL correct. 2.2 FL. OZ. was read as FL O7 and dropped."
11,ColourPop,storm-cloud-cloud-whip-liquid-lipstick,liquid_lipstick,tube,0,no,,,,not_on_photographed_item,"Bare tube, brand name only."
12,Essence,its-bubble-gum-fun-bouncy-blush,powder_blush,compact,2,yes,4.7g/Net Wt. 0.16 oz.,4.7 g|7 g,4.7 g|7 g,hit_verified,"4.7 g correct. The 7 g token is a fragment of the same string from the full-frame pass, which read 4. 7g with a space. 0.16 oz not captured."
13,Milani,cheek-kiss-blush-stick-in-luminoso,cream_blush,stick,0|4,no,,,,not_on_photographed_item,"Bare stick; image 4 carries ingredient call-outs only."
14,Physicians Formula,butter-blowout-mascara-black,mascara,tube,0,no,,,,not_on_photographed_item,"Bare tube."
15,Wet n Wild,bare-focus-niacinamide-skin-tint-fair-light-beige,concealer,bottle,0,yes,32 mL / 1.08 FL. OZ.,1.08 fl oz|1.08 fl oz.|32 mL,1.08 fl oz|1.08 fl oz.|32 mL,hit_verified,"Both values correct, read on 3 of 6 images."
16,ColourPop,pink-perfection-jelly-much-eyeshadow-stick,eyeshadow_single,stick,0,no,,,,not_on_photographed_item,"Bare stick."
17,Essence,banana-loose-powder,setting_powder,jar,0,no,,,,not_on_photographed_item,"Jar and puff; only the brand name, on the puff."
18,Milani,amore-satin-matte-lip-creme,liquid_lipstick,tube,0,no,,,,not_on_photographed_item,"Bare tube; the full-frame pass read nothing on any of 6 images."
19,Physicians Formula,rose-all-play-eyeshadow-bouquet,eyeshadow_single,palette,0,yes,Total Net Wt. / Poids Net Total: 13.7 g / 0.48 Oz.,13.7 g,13.7 g,hit_verified,"13.7 g correct. 0.48 Oz. not captured (mixed-case unit). The category guess is wrong: this is a palette."
20,Wet n Wild,breakup-proof-waterproof-retractable-gel-eyeliner-charcoal,primer,pen,2,yes,NET WT / POIDS NET 0.23 g / 0.008 OZ.,0.23 g,0.23 g,hit_verified,"Printed on the blister card, not on the pencil. 0.23 g correct. 0.008 oz is below the plausibility floor. The category guess is wrong: this is an eyeliner, out of §7 scope."
21,ColourPop,cuter-than-cupid-super-shock-blush,powder_blush,compact,0,yes,SUPER SHOCK BLUSH NET WT. 7.65g (0.27oz),0.27 oz,0.27 oz|7.65 g,hit_verified,"Printed on the side of the box, not on the compact. 0.27 oz correct. 7.65g is glued to NETWT. and recovered only by the amended rule."
22,Essence,the-nude-edition-eyeshadow-palette,eyeshadow_palette,palette,0,yes,10 g/Net Wt. 0.35 oz. e,,,present_unreadable_mirrored,"Printed on the lid; photographed through the open transparent lid from behind, so the text is mirror-imaged. OCR read oitih and eaaeuce. A horizontal flip would present it the right way round."
23,Milani,highly-rated-anti-gravity-mascara,mascara,tube,0|3,no,,,,not_on_photographed_item,"Bare tube; image 3 is a description card."
24,Physicians Formula,butter-highlighter-champagne,highlighter,compact,0,no,,,,not_on_photographed_item,"Compact lid."
25,Wet n Wild,color-icon-5-pan-palette-full-bloomin,eyeshadow_single,palette,0,no,,,,not_on_photographed_item,"Palette top; 3 images, all product-only. The category guess is wrong: this is a palette."
26,ColourPop,high-demand-blush-stix,cream_blush,stick,0|3,no,,,,not_on_photographed_item,"Bare stick. The 30G FAVES fragment on image 3 is the shade-chart caption 3 OG FAVES, correctly rejected by the strict rule."
27,Essence,all-about-soft-glow-fixing-compact-powder-waterproof,pressed_powder,compact,5,yes,8 g/Net Wt. 0.28 oz.,8 g,8 g,hit_verified,"8 g correct, read only in a tile pass. 0.28 oz. was read as 0.280L and dropped."
28,Milani,baked-blush-1,powder_blush,compact,0,no,,,,not_on_photographed_item,"Compact lid."
29,Physicians Formula,butter-glow-corrector-lavender,concealer,tube,3,yes,5.6 mL / 0.19 Fl. Oz.,5.6 mL,5.6 mL,hit_verified,"5.6 mL correct on 3 images. 0.19 Fl. Oz. not captured (mixed-case unit)."
30,Wet n Wild,megalast-liquid-catsuit-high-shine-lipstick-bad-girl-s-club,liquid_lipstick,tube,0,no,,,,not_on_photographed_item,"Bare tube at 660 px."
